,TOTAL POP,WHITE POP,BLACK POP,NOT HISPANIC POP,TOTAL HISPANIC POP,NOT HISPANIC WHITE,NAME,STATE,COUNTY,GEO_TRACT
273,2784,2461,123,2238,546,2025,"Census Tract 1707, Milwaukee County, Wisconsin",55,079,170700
274,2243,1114,826,2168,75,1108,"Census Tract 53, Milwaukee County, Wisconsin",55,079,005300
275,8718,7479,157,7897,821,6852,"Census Tract 1501, Milwaukee County, Wisconsin",55,079,150100
276,2183,1839,70,1693,490,1543,"Census Tract 1203, Milwaukee County, Wisconsin",55,079,120300
277,6439,2848,2978,6083,356,2653,"Census Tract 2.02, Milwaukee County, Wisconsin",55,079,000202
278,2346,1829,179,1877,469,1452,"Census Tract 218, Milwaukee County, Wisconsin",55,079,021800
279,4419,3964,131,4308,111,3859,"Census Tract 352, Milwaukee County, Wisconsin",55,079,035200
280,2377,2056,75,2284,93,2004,"Census Tract 914, Milwaukee County, Wisconsin",55,079,091400
281,4159,2992,300,3407,752,2580,"Census Tract 1002, Milwaukee County, Wisconsin",55,079,100200
282,2605,2011,28,2186,419,1906,"Census Tract 1003, Milwaukee County, Wisconsin",55,079,100300
283,3926,3357,243,3473,453,3079,"Census Tract 1014, Milwaukee County, Wisconsin",55,079,101400
284,2839,2656,0,2530,309,2377,"Census Tract 1801, Milwaukee County, Wisconsin",55,079,180100
285,1641,299,1308,1554,87,220,"Census Tract 141, Milwaukee County, Wisconsin",55,079,014100
286,2087,990,595,1750,337,862,"Census Tract 148, Milwaukee County, Wisconsin",55,079,014800
287,1017,447,362,850,167,348,"Census Tract 133, Milwaukee County, Wisconsin",55,079,013300
288,4334,1040,452,901,3433,283,"Census Tract 164, Milwaukee County, Wisconsin",55,079,016400
289,3436,3001,168,3062,374,2768,"Census Tract 196, Milwaukee County, Wisconsin",55,079,019600
290,2969,1388,362,1133,1836,479,"Census Tract 160, Milwaukee County, Wisconsin",55,079,016000
291,4825,4174,359,4627,198,4092,"Census Tract 910, Milwaukee County, Wisconsin",55,079,091000
292,4173,3021,647,2908,1265,2136,"Census Tract 1101, Milwaukee County, Wisconsin",55,079,110100
293,3801,249,3476,3719,82,168,"Census Tract 48, Milwaukee County, Wisconsin",55,079,004800
294,2068,179,1194,1812,256,76,"Census Tract 96, Milwaukee County, Wisconsin",55,079,009600
295,2077,1675,190,1945,132,1630,"Census Tract 125, Milwaukee County, Wisconsin",55,079,012500
296,3049,666,1978,2623,426,472,"Census Tract 18, Milwaukee County, Wisconsin",55,079,001800
297,2295,287,1805,2079,216,166,"Census Tract 29, Milwaukee County, Wisconsin",55,079,002900
