,MEDIAN INCOME,TOTAL POP FOR POV RATES,TOTAL POP INCOME BELOW POV RATE,WHITE POP INCOME BELOW POV RATE,BLACK POP INCOME BELOW POV RATE,POP BELOW .50 INCOME POV RATIO,POP .50-.99 INCOME POV RATIO,POP 1.00-1.24 INCOME POV RATIO,NAME,STATE,COUNTY,GEO_TRACT
114,52326,2492,242,230,12,139,103,39,"Census Tract 1703, Milwaukee County, Wisconsin",55,079,170300
115,51288,2715,318,224,93,104,214,49,"Census Tract 1013, Milwaukee County, Wisconsin",55,079,101300
116,84676,1883,64,48,11,44,20,70,"Census Tract 902, Milwaukee County, Wisconsin",55,079,090200
117,54112,4057,353,315,38,193,160,128,"Census Tract 1016, Milwaukee County, Wisconsin",55,079,101600
118,105344,4330,106,97,9,76,30,43,"Census Tract 911, Milwaukee County, Wisconsin",55,079,091100
119,42029,2716,345,236,99,133,212,79,"Census Tract 1004, Milwaukee County, Wisconsin",55,079,100400
120,50197,4231,770,552,96,122,648,76,"Census Tract 1015, Milwaukee County, Wisconsin",55,079,101500
121,64375,4697,187,187,0,101,86,206,"Census Tract 1301, Milwaukee County, Wisconsin",55,079,130100
122,72188,3057,149,133,0,52,97,102,"Census Tract 1401, Milwaukee County, Wisconsin",55,079,140100
123,110625,10218,234,228,0,209,25,138,"Census Tract 1603, Milwaukee County, Wisconsin",55,079,160300
124,43576,3258,418,314,79,279,139,71,"Census Tract 1803, Milwaukee County, Wisconsin",55,079,180300
125,41029,4625,794,581,29,318,476,189,"Census Tract 1851, Milwaukee County, Wisconsin",55,079,185100
126,46016,3485,599,25,556,198,401,245,"Census Tract 7, Milwaukee County, Wisconsin",55,079,000700
127,96016,2742,602,509,31,422,180,26,"Census Tract 75, Milwaukee County, Wisconsin",55,079,007500
128,47450,1805,249,203,38,138,111,51,"Census Tract 79, Milwaukee County, Wisconsin",55,079,007900
129,18160,1762,962,19,905,442,520,194,"Census Tract 88, Milwaukee County, Wisconsin",55,079,008800
130,74856,1485,108,82,19,25,83,15,"Census Tract 114, Milwaukee County, Wisconsin",55,079,011400
131,19766,2173,888,194,356,370,518,138,"Census Tract 134, Milwaukee County, Wisconsin",55,079,013400
132,16063,2090,1078,178,894,485,593,96,"Census Tract 136, Milwaukee County, Wisconsin",55,079,013600
133,36437,3420,1026,523,61,401,625,493,"Census Tract 162, Milwaukee County, Wisconsin",55,079,016200
134,31514,4105,1356,243,147,961,395,431,"Census Tract 163, Milwaukee County, Wisconsin",55,079,016300
135,26154,3726,1293,479,518,595,698,323,"Census Tract 175, Milwaukee County, Wisconsin",55,079,017500
136,48702,5352,663,131,513,347,316,239,"Census Tract 50, Milwaukee County, Wisconsin",55,079,005000
137,49891,2379,425,291,22,139,286,70,"Census Tract 128, Milwaukee County, Wisconsin",55,079,012800
138,23831,2110,999,450,48,473,526,205,"Census Tract 165, Milwaukee County, Wisconsin",55,079,016500
139,25281,1697,728,195,123,308,420,177,"Census Tract 166, Milwaukee County, Wisconsin",55,079,016600
140,60096,1967,348,198,0,163,185,111,"Census Tract 185, Milwaukee County, Wisconsin",55,079,018500
141,37857,1749,333,62,138,89,244,142,"Census Tract 213, Milwaukee County, Wisconsin",55,079,021300
142,49286,4798,1055,785,10,307,748,448,"Census Tract 216, Milwaukee County, Wisconsin",55,079,021600
143,65208,4093,272,210,62,124,148,34,"Census Tract 901, Milwaukee County, Wisconsin",55,079,090100
144,12759,1580,1003,529,283,787,216,42,"Census Tract 146, Milwaukee County, Wisconsin",55,079,014600
145,42071,2414,335,66,262,152,183,16,"Census Tract 37, Milwaukee County, Wisconsin",55,079,003700
146,24673,2542,926,9,917,270,656,109,"Census Tract 46, Milwaukee County, Wisconsin",55,079,004600
147,28409,3274,1098,31,1029,294,804,128,"Census Tract 51, Milwaukee County, Wisconsin",55,079,005100
148,96140,4783,178,147,23,123,55,29,"Census Tract 703, Milwaukee County, Wisconsin",55,079,070300
149,61923,3322,268,117,96,107,161,69,"Census Tract 903, Milwaukee County, Wisconsin",55,079,090300
150,152560,2269,50,50,0,50,0,67,"Census Tract 351, Milwaukee County, Wisconsin",55,079,035100
151,20042,2126,1124,23,1097,324,800,246,"Census Tract 65, Milwaukee County, Wisconsin",55,079,006500
152,28667,1180,489,4,475,171,318,95,"Census Tract 99, Milwaukee County, Wisconsin",55,079,009900
153,50995,2898,777,506,0,314,463,226,"Census Tract 172, Milwaukee County, Wisconsin",55,079,017200
154,56712,1454,195,195,0,114,81,25,"Census Tract 211, Milwaukee County, Wisconsin",55,079,021100
155,41568,3680,731,456,244,498,233,210,"Census Tract 1001, Milwaukee County, Wisconsin",55,079,100100
156,46984,3008,332,247,0,169,163,131,"Census Tract 1202.02, Milwaukee County, Wisconsin",55,079,120202
157,58532,4508,356,311,7,94,262,86,"Census Tract 1805, Milwaukee County, Wisconsin",55,079,180500
